# File: FoodProcessing_energy_region_IAA.csv
# Title: FoodProcessing and FoodProcessing_enuse energy by IAA region
# Units: EJ
# Description: Regional FoodProcessing energy consumption
# Source: World FoodProcessing Association
# Column types: ciccnc
# ----------
flow,year,IAA_region,fuel,value,unit
FoodProcessing,2001,Africa & Asia (ex China),biomass,0,EJ
FoodProcessing,2000,Africa & Asia (ex China),coal,0.019115,EJ
FoodProcessing,2000,Africa & Asia (ex China),refined liquids,0.013533,EJ
FoodProcessing,2000,Africa & Asia (ex China),gas,0,EJ
FoodProcessing,2000,Africa & Asia (ex China),electricity,0.002734,EJ
FoodProcessing,2000,Africa & Asia (ex China),biomass,0.00032,EJ
FoodProcessing,1999,Africa & Asia (ex China),coal,0.020199,EJ
FoodProcessing,1999,Africa & Asia (ex China),refined liquids,0.016541,EJ
FoodProcessing,1999,Africa & Asia (ex China),gas,0,EJ
FoodProcessing,1999,Africa & Asia (ex China),electricity,0.00297,EJ
FoodProcessing,1999,Africa & Asia (ex China),biomass,0.000405,EJ
FoodProcessing,1998,Africa & Asia (ex China),coal,0.018462,EJ
FoodProcessing,1998,Africa & Asia (ex China),refined liquids,0.016838,EJ
FoodProcessing,1998,Africa & Asia (ex China),gas,0,EJ
FoodProcessing,1998,Africa & Asia (ex China),electricity,0.003215,EJ
FoodProcessing,1998,Africa & Asia (ex China),biomass,0.000338,EJ
FoodProcessing,1997,Africa & Asia (ex China),coal,0.017736,EJ
FoodProcessing,1997,Africa & Asia (ex China),refined liquids,0.015652,EJ
FoodProcessing,1997,Africa & Asia (ex China),gas,0,EJ
FoodProcessing,1997,Africa & Asia (ex China),electricity,0.002007,EJ
FoodProcessing,1997,Africa & Asia (ex China),biomass,0.000835,EJ
FoodProcessing,1996,Africa & Asia (ex China),coal,0.017364,EJ
FoodProcessing,1996,Africa & Asia (ex China),refined liquids,0.016901,EJ
FoodProcessing,1996,Africa & Asia (ex China),gas,0,EJ
FoodProcessing,1996,Africa & Asia (ex China),electricity,0.001972,EJ
FoodProcessing,1996,Africa & Asia (ex China),biomass,0.000385,EJ
FoodProcessing,1995,Africa & Asia (ex China),coal,0.016717,EJ
FoodProcessing,1995,Africa & Asia (ex China),refined liquids,0.01704,EJ
FoodProcessing,1995,Africa & Asia (ex China),gas,0,EJ
FoodProcessing,1995,Africa & Asia (ex China),electricity,0.001951,EJ
FoodProcessing,1995,Africa & Asia (ex China),biomass,0.000347,EJ
FoodProcessing,1994,Africa & Asia (ex China),coal,0.016092,EJ
FoodProcessing,1994,Africa & Asia (ex China),refined liquids,0.016402,EJ
FoodProcessing,1994,Africa & Asia (ex China),gas,0.000176,EJ
FoodProcessing,1994,Africa & Asia (ex China),electricity,0.001717,EJ
FoodProcessing,1994,Africa & Asia (ex China),biomass,0.000188,EJ
FoodProcessing,1993,Africa & Asia (ex China),coal,0.017206,EJ
FoodProcessing,1993,Africa & Asia (ex China),refined liquids,0.016716,EJ
FoodProcessing,1993,Africa & Asia (ex China),gas,0,EJ
