# File: FoodProcessing_prod_region_IAA.csv
# Title: FoodProcessing and FoodProcessing_enuse production by IAA region
# Units: Thousand tons
# Description: Regional FoodProcessing production
# Source: World FoodProcessing Association
# Column types: cicnc
# ----------
flow,year,IAA_region,value,unit
FoodProcessing,2016,Africa,1691,Thousand metric tons
FoodProcessing,2016,Asia (ex China),3442,Thousand metric tons
FoodProcessing,2016,China (Estimated),32641,Thousand metric tons
FoodProcessing,2016,East & Central Europe,3981,Thousand metric tons
FoodProcessing,2016,GCC,5197,Thousand metric tons
FoodProcessing,2016,North America,4027,Thousand metric tons
FoodProcessing,2016,Oceania,1971,Thousand metric tons
FoodProcessing,2016,South America,1361,Thousand metric tons
FoodProcessing,2016,West Europe,3779,Thousand metric tons
FoodProcessing,2017,Africa,1679,Thousand metric tons
FoodProcessing,2017,Asia (ex China),3951,Thousand metric tons
FoodProcessing,2017,China (Estimated),35905,Thousand metric tons
FoodProcessing,2017,East & Central Europe,3999,Thousand metric tons
FoodProcessing,2017,GCC,5149,Thousand metric tons
FoodProcessing,2017,North America,3950,Thousand metric tons
FoodProcessing,2017,Oceania,1817,Thousand metric tons
FoodProcessing,2017,South America,1378,Thousand metric tons
FoodProcessing,2017,West Europe,3776,Thousand metric tons
FoodProcessing,2018,Africa,1668,Thousand metric tons
FoodProcessing,2018,Asia (ex China),4415,Thousand metric tons
FoodProcessing,2018,China (Estimated),36485,Thousand metric tons
FoodProcessing,2018,East & Central Europe,4049,Thousand metric tons
FoodProcessing,2018,GCC,5331,Thousand metric tons
FoodProcessing,2018,North America,3774,Thousand metric tons
FoodProcessing,2018,Oceania,1917,Thousand metric tons
FoodProcessing,2018,South America,1164,Thousand metric tons
FoodProcessing,2018,West Europe,3733,Thousand metric tons
FoodProcessing,2019,Africa,1504,Thousand metric tons
FoodProcessing,2019,Asia (ex China),4029,Thousand metric tons
FoodProcessing,2019,China (Estimated),32683,Thousand metric tons
FoodProcessing,2019,East & Central Europe,3800,Thousand metric tons
FoodProcessing,2019,GCC,5145,Thousand metric tons
FoodProcessing,2019,North America,3485,Thousand metric tons
FoodProcessing,2019,Oceania,1755,Thousand metric tons
FoodProcessing,2019,South America,983,Thousand metric tons
FoodProcessing,2019,West Europe,3155,Thousand metric tons
